Loyer au m2,KEY,Prix,Département,ville,Code Postal,Adresse,Type,Nombre de pièces,Surface,Latitude,Longitude,Prix au m2,Mensualité,Coût total des intérêts,Frais de notaire,Loyer mensuel,Taux de rendement
31,75-101,225000,75,PARIS 01,75001,4 RUE BAILLEUL,Appartement,2,32,48.8609896487242,2.34215944457332,7031,1188,131289.87,18000.0,1003,3.22
31,75-101,648000,75,PARIS 01,75001,20 RUE DU LOUVRE,Appartement,3,55,48.8614709913401,2.34138144226698,11782,3420,378114.82,51840.0,1724,1.92
31,75-101,714000,75,PARIS 01,75001,9 RUE DES INNOCENTS,Appartement,3,68,48.8603806506812,2.34742162047419,10500,3769,416626.51,57120.0,2131,2.15
31,75-101,680000,75,PARIS 01,75001,7 RUE GOMBOUST,Appartement,3,48,48.8672483465655,2.33266990956569,14167,3589,396787.15,54400.0,1505,1.6
31,75-101,560000,75,PARIS 01,75001,18 RUE DU ROULE,Appartement,2,50,48.8608674686194,2.34399003956644,11200,2956,326765.89,44800.0,1567,2.02
31,75-101,548571,75,PARIS 01,75001,1 RUE COQ HERON,Appartement,2,37,48.8642099199361,2.34185157438686,14826,2896,320096.95,43885.68,1160,1.53
31,75-101,280000,75,PARIS 01,75001,23 RUE DE RICHELIEU,Appartement,2,22,48.8648061950029,2.33602409337384,12727,1478,163382.95,22400.0,690,1.78
31,75-101,421200,75,PARIS 01,75001,51 RUE SAINT-DENIS,Appartement,3,65,48.8611828558268,2.34840233711861,6480,2223,245774.63,33696.0,2037,3.49
31,75-101,624100,75,PARIS 01,75001,51 RUE SAINT-DENIS,Appartement,3,65,48.8611828558268,2.34840233711861,9602,3294,364168.92,49928.0,2037,2.35
31,75-101,400000,75,PARIS 01,75001,6 RUE DU MONT-THABOR,Appartement,2,24,48.8656508956109,2.32933029860553,16667,2111,233404.21,32000.0,752,1.36
31,75-101,406000,75,PARIS 01,75001,280 RUE SAINT-HONORE,Appartement,2,36,48.8646848820722,2.33320705760112,11278,2143,236905.27,32480.0,1128,2.0
31,75-101,500000,75,PARIS 01,75001,217 RUE SAINT-HONORE,Appartement,2,35,48.8653185001806,2.33041429007133,14286,2639,291755.26,40000.0,1097,1.58
31,75-101,915000,75,PARIS 01,75001,30 RUE SAINT-DENIS,Appartement,2,63,48.8599562244316,2.34842147644263,14524,4830,533912.13,73200.0,1975,1.56
31,75-101,508200,75,PARIS 01,75001,9 RUE SAINT GERMAIN L AUXERROIS,Appartement,2,35,48.8581141036703,2.34505949834676,14520,2682,296540.05,40656.0,1097,1.56
31,75-101,240000,75,PARIS 01,75001,119 RUE SAINT-DENIS,Appartement,2,24,48.863041383986,2.34911820272283,10000,1267,140042.53,19200.0,752,2.26
31,75-101,480000,75,PARIS 01,75001,217 RUE SAINT-HONORE,Appartement,2,29,48.8653185001806,2.33041429007133,16552,2534,280085.05,38400.0,909,1.37
31,75-101,338500,75,PARIS 01,75001,9 RUE VILLEDO,Appartement,2,25,48.8662633017242,2.33601124894673,13540,1787,197518.31,27080.0,784,1.67
31,75-101,460000,75,PARIS 01,75001,49 RUE SAINT-HONORE,Appartement,3,39,48.8607347594319,2.34507750458427,11795,2428,268414.84,36800.0,1222,1.92
31,75-101,284000,75,PARIS 01,75001,41 RUE DES PETITS CHAMPS,Appartement,2,30,48.8667784054298,2.33607003408182,9467,1499,165716.99,22720.0,940,2.39
31,75-101,381100,75,PARIS 01,75001,5 RUE PERRAULT,Appartement,2,29,48.860394073497,2.34150600038853,13141,2012,222375.86,30488.0,909,1.72
31,75-101,357900,75,PARIS 01,75001,95 RUE SAINT-HONORE,Appartement,2,30,48.8612323714255,2.34319030373193,11930,1889,208838.42,28632.0,940,1.9
31,75-101,966000,75,PARIS 01,75001,7 RUE SAINT-HYACINTHE,Appartement,3,55,48.8660101492591,2.33135210438938,17564,5099,563671.16,77280.0,1724,1.29
31,75-101,625000,75,PARIS 01,75001,13 RUE DU MARCHE ST HONORE,Appartement,2,50,48.8664467503475,2.33123020314142,12500,3299,364694.08,50000.0,1567,1.81
31,75-101,650750,75,PARIS 01,75001,4 RUE DE CASTIGLIONE,Appartement,2,44,48.8655023514725,2.32789154518686,14790,3435,379719.47,52060.0,1379,1.53
31,75-101,430000,75,PARIS 01,75001,19 RUE PIERRE LESCOT,Appartement,2,34,48.8634369517584,2.34874501200017,12647,2270,250909.52,34400.0,1066,1.79
31,75-101,650000,75,PARIS 01,75001,8 RUE SAINT-HYACINTHE,Appartement,2,52,48.8662073500993,2.33179531056562,12500,3431,379281.84,52000.0,1630,1.81
